매칭품목,제목,날짜,브랜드,품명,EST,등급,내시세,원산지,창고,업체명,링크,글쓴이,작성일,글번호
스지,유통기한임박 미산스지 구매합니다,2026-07-06,EXCEL,,86K,,"7,500원",미국,강동2,(주)유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-06-30,STX BEEF,,,UN,"5,000원",미국산,이스트밸리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-05-29,EXCEL,,86K,UN,"7,500원",미국,CS냉장,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-05-27,EXCEL,,86K,UN,"7,500원",미국,,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-05-27,크릭스톤,,,UN,"7,600원",미국,,독보팜스(주),https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-05-14,STX BEEF,,,UN,"6,000원",미국,이스트밸리,가흥이민우,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-04-29,STX BEEF,,,UN,"6,000원",미국산,이스트밸리,가홍이민우,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-04-28,크릭스톤,,,UN,"7,600원",미국,,가홍이민우,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-04-08,크릭스톤,,,UN,"7,600원",미국,,바른축산,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-04-01,EXCEL,,86M,,"7,700원",미국,강동2,(주)이로운미트,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-04-01,STX BEEF,,,UN,"6,000원",미국산,이스트밸리,가홍이민우(4월1일품목),https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-04-01,크릭스톤,,,,"7,400원",미국산냉동,아주기흥,(주)유어초이스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-25,STX,,,UN,"6,000원",미국,,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-17,EXCEL,,86K,UN,"7,200원",미국,처인,진진프라임,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-17,EXCEL,,86K R,UN,"7,000원",미국,오로라 저인 대재,기타업체,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-16,DANISH CROWN,,,,"15,000원",덴마크,,우진미트,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-16,EXCEL,,86K,A,"7,500원",미국,강동2냉장,에이지엠코퍼레이션,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-16,EXCEL,,86K/86E,2026.09~10,"6,900원",미국,강동2,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-16,EXCEL,,86R,A,"7,500원",미국,강동2냉장,에이지엠코퍼레이션,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-16,EXCEL,,93,A,"7,300원",캐나다,강동2냉장,에이지엠코퍼레이션,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-11,EXCEL,,86M,UN,"6,900원",미국,강동2,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-09,EXCEL,,86E,,"6,800원",미국,,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-05,크릭스톤,,,,"7,200원",미국,아주기흥,(주)유어초이스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-03,EXCEL,,86E,,"6,800원",미국,삼진2,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-03,EXCEL,,86K,,"6,900원",미국,삼진2,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-03,STX,,,UN,"6,000원",미국,이스트밸리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-03-03,크릭스톤,,,,"7,200원",미국,아주기흥,유어초이스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-26,EXCEL,,86E,,"6,800원",미국,강동2,주식회사 유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-26,EXCEL,,86E/M,UN,"6,900원",미국,강동2냉장,렉스팜,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-26,EXCEL,,86K,,"6,900원",미국,삼진2,주식회사 유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-26,IBP,,,UN,"6,000원",미국,이스트밸리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-24,EXCEL,,86E,,"6,800원",미국산,,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-24,EXCEL,,86K,UN,"6,800원",미국,강동2,에이지엠/이츠미트,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-24,EXCEL,,86K,,"6,900원",미국산,삼진2,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-24,EXCEL,,86R,UN,"6,800~7,000원",미국,강동2,에이지엠/이츠미트,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-24,EXCEL,,93,A,"6,800원",캐나다,강동2,에이지엠/이츠미트,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-24,STX,,,UN,"6,000원",,,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-23,EXCEL,,86E,UN,"7,300원",미국산,CS냉장,에스에프오,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-23,EXCEL,,93,A,"6,800원",미국산,CS냉장,에스에프오,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-23,STX,,,UN,"6,000원",미국산,이스턴벨리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-23,크릭스톤,,블랙앵거스,,"7,200원",미국산,아주기흥,유어초이스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-03,EXCEL,,86E/86M,UN,"6,900원",미국,강동2,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-02,EXCEL,,86E,,"6,800원",미국,강동2,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-02,EXCEL,,86E / 86M,UN,"6,900원",미국,강동2,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-02-02,STX,,-,UN,"6,000원",미국산,이스트밸리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-29,EXCEL,,86K,,"6,900원",미국,강동2,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-29,STX,,,UN,"6,000원",미국,이스트밸리,,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-28,EXCEL,,86E,UN,"7,000원",미국산,씨에스,농심수산,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-28,EXCEL,,86K,UN,"6,900원",미국,CS냉장,에스에프오,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-26,EXCEL,,86K,UN,"7,300원",미국,오로라 처인,진진프라임,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-26,EXCEL,,86R,,"7,100원",미국,대재,진진프라임,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-26,STX,,,UN,"6,000원",미국산,이스트밸리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-23,던미트,,,,"6,000원",아일랜드,,,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-21,EXCEL,,86E,,"6,800원",미국,삼진2,,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-21,EXCEL,,86K,UN,"7,300원",,,,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-21,EXCEL,,86K,,"6,900원",미국,삼진2,,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-20,EXCEL,,86E/86K,UN,"6,800~6,900원",,강동2/삼진2,,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-19,EXCEL,,86E,UN,"7,000원",,,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-01-19,EXCEL,,86E,,"7,000원",,,유명푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
목살,슈퍼포크 목살 구매합니다.,2026-01-27,슈퍼포크,,,,"7,200원",칠레,신우,,https://cafe.daum.net/meetpeople/HoTs/93939,기대우리,09:57,93939
목살,슈퍼포크 목살 구매합니다.,2026-01-19,슈퍼포크,,,,"7,200원",칠레,,비와이인터내셔널,https://cafe.daum.net/meetpeople/HoTs/93939,기대우리,09:57,93939
우설,호주산 냉동 와규우설 구매합니다.,2026-02-24,AACO,,1620/170,8 VP,"40,000원",호주,강동2,양지트레이딩,https://cafe.daum.net/meetpeople/HoTs/93935,세원푸드 여운열,09:23,93935
목살,스페인 잉카롭사 듀록 목살 (진공/반진공/개별),2026-06-24,잉카롭사,,,진공,"6,800원",스페인,동탄한라,㈜유어초이스,https://cafe.daum.net/meetpeople/HoTs/93933,(주)제이알미트 황정록,09:13,93933
목살,스페인 잉카롭사 듀록 목살 (진공/반진공/개별),2026-06-24,잉카롭사,,,클립,"7,400원",스페인,동탄한라,㈜유어초이스,https://cafe.daum.net/meetpeople/HoTs/93933,(주)제이알미트 황정록,09:13,93933
목살,스페인 잉카롭사 듀록 목살 (진공/반진공/개별),2026-05-13,잉카롭사,,,,"6,800원",스페인,아주기흥/동탄한라,(주)유어초이스,https://cafe.daum.net/meetpeople/HoTs/93933,(주)제이알미트 황정록,09:13,93933
