매칭품목,제목,날짜,브랜드,품명,EST,등급,내시세,원산지,창고,업체명,링크,글쓴이,작성일,글번호
잡육,돈연골잡육(국산) 구합니다,2026-06-26,국내산,,,,"4,500~4,600원",국내산,,(주)신화,https://cafe.daum.net/meetpeople/HoTs/93949,사골조아,15:03,93949
사골,국산 우사골 구합니다,2026-05-26,한우,,,거세,"2,000원",국내산,,우정유통,https://cafe.daum.net/meetpeople/HoTs/93947,사골조아,13:39,93947
갈비,EXCEL K CH 갈비 구매합니다.,2026-07-06,EXCEL,,86K(25.5),CH,"20,000원",미국,CS,(주)케이엠에스패밀리(TMS),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-06-30,EXCEL,,86E(27)/86K(26),CH,"19,000~20,000원",미국,CS냉장,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-06-23,EXCEL,,86K (25.5),CH,"19,500원",미국,CS,케이엠에스패밀리(TMS),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-06-22,EXCEL,,86K(25),CH,"15,500원",미국,CS냉장,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-06-11,EXCEL,,86K(24.5),CH,"18,700원",미국,CS,(주)케이엠에스패밀리(TMS),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-06-09,EXCEL,,86K(26),CH,"18,700원",미국,CS냉장,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-06-04,EXCEL,,86K(26),CH,"18,700원",캐나다,CS냉장,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-05-29,EXCEL,,86K,CH,"15,000~18,500원",미국,CS냉장,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-05-27,EXCEL,,86K,CH,"15,000~18,500원",미국,,에스에프오(주),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-05-20,EXCEL,,86K(24.5),CH,"18,300원",미국,CS,케이엠에스패밀리(TMS),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-05-20,EXCEL,,86K(25),CH,"14,500원",미국,CS,케이엠에스패밀리(TMS),https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-05-11,EXCEL,,86K,CH,"14,500~18,300원",미국,CS,케이엠에스패밀리,https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-03-11,EXCEL,,86K/86E,CH,"17,800원",미국,강동2,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-02-25,EXCEL,,86K,CH,"17,700원",미국,강동2,가흥,https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-02-02,EXCEL,,86K / 86E,CH,"18,000~18,100원",미국,강동2,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-01-28,EXCEL,,86K,CH,"18,000원",미국산,씨에스,농심수산,https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
갈비,EXCEL K CH 갈비 구매합니다.,2026-01-19,EXCEL,,86K,CH,"18,200원",,,헬로우팜스,https://cafe.daum.net/meetpeople/HoTs/93945,몽구맘,13:10,93945
스지,유통기한임박 미산스지 구매합니다,2026-07-09,STX BEEF,,,UN,"5,000원",미국,이스트밸리,가흥,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
스지,유통기한임박 미산스지 구매합니다,2026-07-08,AMH,,195,BEEF,"6,800원",호주,삼일,(주)나루푸드,https://cafe.daum.net/meetpeople/HoTs/93941,(주)레이푸드트레이딩 고주현,10:45,93941
